location,area_sqft,bhk,bathrooms,floor,total_floors,age_of_property,parking,lift,actual_price
Nerul,882.65,2,1.0,4,1.0,6.0,1,1,11531369
Airoli,1007.51,2.4597701149425286,2.0,8,23.0,7.5,1,0,17987754
Ghansoli,1258.89,2.4597701149425286,1.0,15,19.846280312371558,5.4,0,0,22644323
Kharghar,1073.93,1,2.5295887662988967,7,15.0,11.8,0,1,12348233
Vashi,57.87,3,2.5295887662988967,12,12.0,19.3,0,1,-464885
Kharghar,1244.57,3,4.0,30,9.0,4.2,0,0,18459795
Panvel,858.25,3,4.0,28,21.0,6.5,0,0,17654989
KHARGHAR,3031.53,1,4.0,34,7.0,6.8,0,0,52413390
Ghansoli,1134.11,3,2.0,12,23.0,9.2,0,0,18605602
CBD Belapur,1060.72,2.4597701149425286,2.0,12,34.0,18.0,1,0,16039115
Airoli,1759.72,3,2.0,7,9.0,0.2,0,1,19625559
Airoli,1336.78,2,2.0,27,21.0,11.3,0,1,16149120
Airoli,491.64,1,1.0,12,16.0,11.1,0,0,8962423
Vashi,938.46,1,4.0,3,32.0,16.0,1,1,17197580
panvel,1519.85,2.4597701149425286,2.5295887662988967,27,14.0,17.3,1,1,18804405
Ulwe,1038.63,2,1.0,15,23.0,9.9,0,0,10320009
Kharghar,1320.64,2.4597701149425286,2.5295887662988967,8,13.0,1.4,0,0,15110282
Ulwe,777.94,2.4597701149425286,2.0,29,8.0,8.3,0,0,11460667
nerul,583.49,2.4597701149425286,1.0,29,34.0,16.1,1,0,6600229
Ulwe,443.52,4,4.0,8,29.0,18.5,1,0,6221211
Airoli,-112.07,2,4.0,31,31.0,10.1,0,0,-1527282
panvel,874.76,2,2.0,12,6.0,5.9,0,0,9795872
CBD Belapur,3430.9657487994687,2,3.0,16,13.0,11.0,0,1,50507091.96410894
Ulwe,1331.04,1,3.0,31,8.0,10.8,0,1,15490301
CBD Belapur,771.12,1,4.0,11,25.0,13.9,1,1,14703647
Nerul,594.1,2.4597701149425286,4.0,8,6.0,3.8,1,1,10356747
Belapur,1198.78,2,1.0,17,15.0,7.4,0,0,14601160
CBD Belapur,612.7,4,2.5295887662988967,9,38.0,21.0,0,0,12819062
Panvel,718.26,4,1.0,16.55400254129606,16.0,3.4,1,0,13531794
Kharghar,929.04,2,4.0,17,35.0,18.2,0,0,13429300
Panvel,831.96,2,4.0,3,28.0,13.9,0,0,11802558
Vashi,1062.25,2,2.5295887662988967,4,36.0,18.6,0,0,19489923
nerul,647.7,4,3.0,11,2.0,11.2,1,0,8966977
Ulwe,714.22,2,2.0,32,29.0,1.5,1,1,10383975
Airoli,1463.77,3,2.5295887662988967,16.55400254129606,5.0,14.3,1,0,21395030
Ghansoli,3430.9657487994687,4,2.5295887662988967,16,19.0,10.4,0,1,50507091.96410894
Panvel,854.91,2,1.0,9,25.0,9.4,1,1,13602445
nerul,1108.24,2,3.0,34,26.0,5.0,0,0,12417738
Kharghar,2867.19,4,2.5295887662988967,6,14.0,14.7,0,1,46962086
Panvel,742.56,2,4.0,9,16.0,1.1,0,0,12117017
Belapur,391.68,3,1.0,15,14.0,11.5,0,1,5622023
Airoli,861.99,3,2.5295887662988967,32,15.0,7.2,0,0,9218454
Nerul,859.41,2,1.0,18,8.0,2.2,1,0,14829561
Vashi,864.67,3,2.0,21,17.0,13.8,1,1,12060645
Ghansoli,763.72,2.4597701149425286,3.0,24,2.0,18.2,1,0,11991412
Kharghar,1545.65,2,2.5295887662988967,26,31.0,21.6,1,0,27779643
Airoli,318.25,4,1.0,16,26.0,8.9,0,0,5750475
CBD Belapur,1590.52,4,3.0,23,23.0,6.8,0,0,32766683
Vashi,989.07,3,3.0,17,23.0,0.4,0,0,10644399
CBD Belapur,1485.44,1,4.0,4,4.0,3.8,1,1,13646639
KHARGHAR,857.56,2,3.0,10,24.0,7.7,0,0,15933556
CBD Belapur,478.22,2,2.0,25,13.0,16.6,1,1,6214148
KHARGHAR,861.24,3,2.0,23,10.0,0.1,0,0,18127195
Kharghar,-60.29,2,3.0,22,38.0,8.4,1,1,-926764
Airoli,1142.13,2.4597701149425286,3.0,10,32.0,6.3,0,1,20264278
Vashi,1101.53,1,1.0,17,19.0,12.2,0,0,15133803
CBD Belapur,488.66,3,2.5295887662988967,16.55400254129606,22.0,14.8,0,1,5272891
nerul,1185.8,1,2.0,23,23.0,9.0,1,0,18035996
Vashi,850.46,2,3.0,34,17.0,13.3,1,0,16048242
Airoli,206.27,4,3.0,10,9.0,8.3,0,0,2538459
Airoli,1085.35,2,3.0,29,9.0,2.6,1,1,16484569
Panvel,452.07,3,1.0,19,20.0,8.1,0,0,5712246
KHARGHAR,1107.59,1,4.0,19,25.0,3.2,0,1,12823716
nerul,945.08,4,2.5295887662988967,28,18.0,7.0,1,0,11455589
Ulwe,537.2,2.4597701149425286,4.0,26,10.0,12.0,0,0,5890064
Kharghar,668.07,4,2.5295887662988967,3,15.0,22.9,0,0,12174785
KHARGHAR,1198.22,3,2.5295887662988967,31,17.0,7.0,1,1,13715419
Belapur,472.55,1,4.0,21,5.0,13.5,0,0,5700527
panvel,589.94,2,2.5295887662988967,9,8.0,5.5,1,0,6195682
Vashi,648.72,2,4.0,2,26.0,7.3,0,1,11067330
Ghansoli,999.57,1,3.0,16.55400254129606,29.0,3.2,1,1,17234469
Vashi,1140.73,2,2.5295887662988967,16,5.0,5.1,0,0,12010489
KHARGHAR,965.02,2.4597701149425286,2.5295887662988967,23,36.0,14.6,1,0,13189802
nerul,551.84,1,2.5295887662988967,9,9.0,19.0,0,0,8032443
Airoli,557.9,2.4597701149425286,3.0,11,1.0,24.3409720571534,0,1,7159620
Nerul,1227.09,2.4597701149425286,4.0,23,16.0,0.4,0,0,20204392
Airoli,841.04,4,4.0,20,5.0,4.6,1,1,16739291
Kharghar,1113.18,1,2.0,19,33.0,10.1,0,1,16041285
nerul,1073.07,1,4.0,7,7.0,1.4,0,1,17730034
Kharghar,1375.11,2,2.5295887662988967,14,23.0,3.6,0,0,16272747
Nerul,1066.55,3,4.0,27,1.0,8.2,1,1,19341337
panvel,858.56,3,4.0,34,6.0,2.0,0,0,13655228
KHARGHAR,248.29,4,4.0,29,9.0,8.6,1,1,6114694
nerul,1433.31,3,2.0,23,4.0,2.5,0,0,22404782
Ghansoli,12.01,3,4.0,9,17.0,7.4,0,0,226992
Nerul,479.53,2.4597701149425286,2.5295887662988967,7,3.0,10.9,0,0,5085466
Ulwe,1664.94,3,1.0,30,13.0,6.5,0,1,21488508
Airoli,829.07,4,2.5295887662988967,0,35.0,8.0,0,0,13311687
KHARGHAR,585.74,4,2.0,25,30.0,10.1,1,0,6861519
panvel,872.52,3,2.5295887662988967,21,27.0,11.2,1,1,10811592
Airoli,791.73,1,2.5295887662988967,17,10.0,9.9,0,0,7628999
Kharghar,167.06,2,2.0,26,8.0,4.0,0,0,2583704
Ghansoli,837.59,4,2.0,22,18.0,10.5,0,1,12142223
Panvel,456.97,2,4.0,9,7.0,6.8,0,0,7364907
Ulwe,1461.62,2,4.0,16,7.0,8.0,0,1,19728976
Kharghar,983.11,2,3.0,27,37.0,8.2,1,0,13813656
Ulwe,1047.24,2,1.0,25,13.0,6.2,0,1,12158425
KHARGHAR,1337.27,3,4.0,30,9.0,6.0,0,0,17822636
Panvel,3430.9657487994687,1,1.0,8,25.0,4.1,1,1,50507091.96410894
Vashi,985.46,2.4597701149425286,4.0,3,20.0,9.2,0,1,11614294
Airoli,1228.22,3,4.0,3,6.0,13.1,0,0,17567813
Kharghar,3430.9657487994687,2,4.0,15,23.0,6.6,0,0,50507091.96410894
CBD Belapur,992.36,1,2.0,30,10.0,11.5,0,0,13746869
nerul,1639.88,1,2.5295887662988967,14,6.0,6.3,0,0,16027500
Nerul,704.81,3,3.0,6,23.0,7.7,0,0,10921874
Kharghar,379.55,3,1.0,16.55400254129606,1.0,5.2,0,1,5523638
CBD Belapur,564.08,2,1.0,14,21.0,5.5,0,0,5449266
CBD Belapur,3430.9657487994687,2,2.0,19,11.0,13.9,1,1,50507091.96410894
Ulwe,4.82,2.4597701149425286,3.0,23,3.0,4.0,0,1,78268
KHARGHAR,658.62,2,1.0,24,17.0,12.0,0,0,8764419
Kharghar,1145.45,2,1.0,11,13.0,2.4,0,0,17902200
nerul,727.89,1,2.5295887662988967,24,38.0,10.6,0,0,10648820
Vashi,324.08,4,2.0,22,11.0,8.6,1,1,4498940
Belapur,968.35,3,3.0,29,1.0,12.7,1,1,16643085
nerul,924.75,2,1.0,18,2.0,10.4,0,1,12056954
Airoli,409.78,4,3.0,2,15.0,7.5,0,1,5386288
KHARGHAR,1577.02,1,4.0,10,26.0,15.5,0,0,19873603
Ulwe,2367.63,4,1.0,27,14.0,3.9,1,0,39990795
Ghansoli,881.9,2,2.0,24,24.0,6.4,0,1,15271643
CBD Belapur,418.6,2.4597701149425286,1.0,16.55400254129606,30.0,12.1,1,1,5720534
Ulwe,982.91,2,1.0,15,16.0,14.4,1,0,19480352
Belapur,871.41,2,2.5295887662988967,1,3.0,6.8,0,1,8026538
Panvel,984.81,4,1.0,19,17.0,1.8,0,0,13661955
Nerul,1187.01,2,4.0,15,6.0,10.5,0,0,15327833
KHARGHAR,1046.3,2,4.0,6,1.0,23.6,0,1,13124327
Belapur,770.36,2,4.0,3,22.0,9.2,1,1,9360166
Kharghar,803.19,2.4597701149425286,4.0,6,17.0,7.5,0,0,10317915
Panvel,1068.25,2,1.0,16,18.0,1.1,0,0,14511656
Panvel,992.88,2,3.0,13,38.0,6.1,1,1,12113178
Kharghar,1112.69,1,1.0,27,32.0,2.2,0,0,12473034
Airoli,1264.32,2,2.5295887662988967,4,22.0,3.2,0,0,14295129
Panvel,966.51,4,1.0,30,13.0,14.2,1,0,19395654
Airoli,847.05,2.4597701149425286,4.0,16.55400254129606,16.0,2.0,1,0,14709111
Ghansoli,957.54,4,4.0,12,34.0,12.2,1,1,16792924
Belapur,3430.9657487994687,1,4.0,12,9.0,11.3,0,0,50507091.96410894
panvel,1183.83,2,2.5295887662988967,34,9.0,8.0,0,0,19684995
Nerul,123.09,1,2.0,14,12.0,16.8,1,1,1429567
Belapur,886.9,2,2.5295887662988967,10,35.0,4.1,0,1,14154814
Nerul,677.65,3,2.0,25,7.0,8.8,0,1,5754881
Airoli,448.68,3,3.0,17,10.0,8.3,0,1,8730053
Ulwe,748.54,2,1.0,23,19.0,7.0,0,0,12398927
Airoli,1190.05,2,1.0,0,16.0,5.6,0,0,17538963
Ulwe,934.97,1,2.5295887662988967,26,8.0,2.4,1,1,17439480
Belapur,1113.2,1,2.0,4,3.0,11.6,1,1,13577214
Panvel,938.71,4,2.5295887662988967,9,33.0,16.2,0,0,12665272
Nerul,906.52,2.4597701149425286,4.0,13,3.0,5.7,0,1,12583200
Belapur,1297.98,2,2.0,34,36.0,6.4,1,0,18172690
Belapur,929.51,2,3.0,32,23.0,11.8,0,0,16058661
Nerul,1143.51,2,2.0,6,6.0,11.3,1,0,13777763
Nerul,1051.48,2.4597701149425286,2.0,2,24.0,2.6,1,0,16745391
Kharghar,912.85,4,1.0,2,4.0,0.4,1,0,15640231
Belapur,803.73,2,2.0,2,12.0,11.0,0,0,14330185
Panvel,1834.96,2.4597701149425286,1.0,25,19.0,10.3,0,1,22186480
nerul,3182.47,4,4.0,25,5.0,3.9,0,0,43678454
Panvel,45.27,1,3.0,2,10.0,2.2,1,0,1117238
Nerul,1522.15,2,1.0,6,31.0,6.6,1,0,24592384
panvel,614.21,2,2.5295887662988967,16.55400254129606,9.0,15.9,0,1,9536986
KHARGHAR,401.99,3,2.0,9,5.0,14.4,0,0,5079265
Belapur,1042.02,4,4.0,21,14.0,8.7,0,1,18360608
panvel,796.41,3,3.0,29,32.0,9.5,1,1,11323897
Belapur,1087.52,2.4597701149425286,2.5295887662988967,19,37.0,7.7,1,1,9784169
Ghansoli,3430.9657487994687,1,4.0,22,9.0,23.2,0,1,58093479
CBD Belapur,1574.9,3,1.0,5,20.0,11.7,1,1,19923983
Panvel,718.71,3,1.0,10,39.0,14.7,0,1,13101308
Ghansoli,933.41,2.4597701149425286,1.0,13,1.0,1.4,0,0,11567715
Ghansoli,1577.95,3,4.0,5,28.0,8.4,0,0,31516423
Airoli,917.76,2,2.0,18,17.0,3.0,1,1,10198250
Nerul,937.18,2,2.0,21,24.0,8.2,1,1,13082156
KHARGHAR,778.39,2,1.0,15,21.0,2.2,1,0,8846548
Airoli,1676.64,2,4.0,31,26.0,3.2,0,0,21572741
Belapur,903.25,1,4.0,26,25.0,0.2,1,0,10098819
panvel,1285.13,3,4.0,33,34.0,7.4,0,1,22940284
Ghansoli,26.68,3,1.0,4,31.0,23.8,1,0,932195
Airoli,1316.53,2,4.0,26,39.0,10.1,0,0,16186433
Belapur,881.69,3,2.0,32,25.0,2.6,0,1,11836611
Kharghar,609.44,4,4.0,11,11.0,9.1,1,1,9350546
panvel,1233.97,1,4.0,23,13.0,14.4,0,1,12185741
Belapur,856.6,3,4.0,31,26.0,23.8,0,1,9762427
CBD Belapur,1433.12,3,2.5295887662988967,24,7.0,6.1,0,0,25426153
Panvel,133.11,2,2.5295887662988967,2,37.0,17.7,0,1,2755057
Ghansoli,1004.73,2,2.5295887662988967,29,36.0,0.9,0,1,13218227
Vashi,1313.9,3,2.0,31,14.0,6.8,1,1,21595119
Belapur,644.99,2,3.0,11,37.0,14.2,0,1,10283522
KHARGHAR,769.92,2,1.0,4,15.0,8.4,0,0,15332614
Belapur,1405.49,2.4597701149425286,3.0,26,8.0,20.6,0,1,21096934
Nerul,697.66,2,1.0,26,15.0,6.2,0,0,7850089
Belapur,1621.08,3,3.0,5,36.0,4.7,0,1,28547343
Panvel,819.19,1,2.0,14,39.0,6.7,0,0,9437699
KHARGHAR,1235.84,3,4.0,10,19.846280312371558,4.3,0,1,18150059
nerul,895.02,2,2.0,22,25.0,9.5,0,0,12218733
Kharghar,1231.49,1,1.0,23,36.0,2.6,0,1,22772462
Airoli,1193.65,4,2.5295887662988967,16.55400254129606,36.0,11.4,0,0,21286358
Ghansoli,1732.87,2,2.5295887662988967,31,15.0,6.9,1,0,18110169
Nerul,1218.81,2.4597701149425286,2.0,21,29.0,5.5,1,0,13073456
Airoli,936.0,1,2.5295887662988967,18,19.0,3.1,0,0,15442355
nerul,799.8,2,3.0,16.55400254129606,6.0,4.1,1,1,14365399
KHARGHAR,765.74,1,4.0,24,39.0,14.3,0,0,8703932
Airoli,1167.21,4,3.0,28,12.0,6.6,1,0,14350286
Kharghar,1738.35,2,2.5295887662988967,24,24.0,7.9,1,0,22008701
Kharghar,1824.29,2,1.0,0,16.0,6.5,0,0,21500843
Kharghar,1011.62,2.4597701149425286,2.5295887662988967,2,8.0,7.7,1,1,13380852
Ghansoli,628.09,2,3.0,2,1.0,2.0,1,0,6095882
panvel,1789.89,2.4597701149425286,3.0,27,39.0,6.5,1,1,17638961
CBD Belapur,269.93,2,2.0,25,39.0,3.3,0,0,4861380
Panvel,1431.85,2,3.0,9,39.0,13.1,1,1,24472020
Ghansoli,1124.62,2,3.0,6,27.0,13.4,1,0,17165804
Panvel,238.51,2,4.0,29,19.0,17.0,0,0,3228617
CBD Belapur,1012.85,4,2.0,1,19.0,9.1,0,1,17787075
Panvel,478.99,3,4.0,10,11.0,9.4,0,0,9470667
nerul,545.16,2,3.0,27,1.0,1.9,0,1,8182487
Ghansoli,1530.85,2,2.5295887662988967,15,27.0,8.1,0,0,16959365
Nerul,711.02,2.4597701149425286,4.0,9,12.0,11.4,1,0,7038059
CBD Belapur,1210.45,2,4.0,11,24.0,7.2,0,1,18157159
panvel,492.81,1,2.0,27,28.0,2.7,0,1,9380518
panvel,811.32,3,1.0,24,17.0,13.8,1,0,8657909
Panvel,1300.7,3,2.0,19,1.0,11.3,0,0,23969023
Nerul,739.75,1,4.0,1,33.0,8.2,0,0,11394870
CBD Belapur,1123.97,2,4.0,15,21.0,3.5,0,1,11620991
Kharghar,1295.83,3,3.0,12,18.0,15.7,1,0,15261303
Ulwe,1034.73,3,4.0,12,2.0,3.1,0,1,15061959
Ghansoli,681.47,3,2.5295887662988967,9,28.0,8.8,1,1,12937596
nerul,742.53,2,3.0,16,26.0,13.1,1,1,12200750
Kharghar,999.37,2,1.0,16,10.0,0.7,0,0,14971631
CBD Belapur,790.93,3,1.0,6,1.0,0.9,0,0,16146466
KHARGHAR,438.03,1,2.5295887662988967,2,23.0,6.6,0,0,5480381
Ulwe,70.48,3,3.0,23,33.0,10.6,0,0,984418
Nerul,1228.43,1,2.5295887662988967,27,8.0,5.2,1,0,15280347
Panvel,873.8,4,3.0,10,30.0,9.9,0,1,10283192
panvel,1102.62,2,3.0,22,18.0,11.8,0,0,10548042
Airoli,1438.49,2.4597701149425286,4.0,24,9.0,5.1,0,0,17755000
KHARGHAR,245.89,3,3.0,26,7.0,2.3,0,0,3375725
Airoli,438.17,2,3.0,32,36.0,4.3,1,1,5072237
panvel,1569.46,1,1.0,32,14.0,9.9,0,1,22801419
nerul,1241.05,4,2.5295887662988967,7,23.0,8.3,1,0,13865237
Airoli,798.36,4,2.5295887662988967,3,34.0,12.3,0,0,9727245
Panvel,925.65,3,1.0,16.55400254129606,15.0,0.5,0,0,14452896
Airoli,1080.22,1,1.0,13,2.0,21.5,0,0,17309419
Ulwe,241.9,3,3.0,14,22.0,1.8,0,1,5016522
Belapur,805.48,4,2.0,2,16.0,7.6,0,0,11671777
Ghansoli,941.19,2,3.0,9,38.0,14.7,0,1,15599686
KHARGHAR,3430.9657487994687,3,2.0,14,29.0,0.6,0,0,50507091.96410894
CBD Belapur,705.35,2.4597701149425286,4.0,18,19.846280312371558,5.7,0,0,7117545
Airoli,1234.78,3,4.0,25,30.0,2.2,1,0,23708314
panvel,923.54,2,2.5295887662988967,4,7.0,4.1,0,1,13391176
panvel,836.05,1,2.5295887662988967,31,36.0,6.5,0,0,15467881
Ulwe,1255.38,3,2.5295887662988967,25,23.0,15.0,1,0,16797300
Ghansoli,298.85,4,4.0,24,30.0,0.0,1,1,6993946
nerul,829.82,2,2.0,16.55400254129606,9.0,11.7,0,1,9486584
Airoli,211.52,2,2.5295887662988967,17,18.0,2.4,1,1,2512477
Kharghar,1449.39,3,2.5295887662988967,29,2.0,20.2,0,0,16983629
Nerul,1376.48,4,2.5295887662988967,16.55400254129606,39.0,2.2,1,0,19921510
Ghansoli,782.98,1,4.0,3,14.0,1.1,1,0,13588388
Panvel,903.37,2,3.0,12,16.0,9.3,0,0,10283939
Nerul,1221.49,2,2.5295887662988967,15,6.0,2.4,1,0,11710488
CBD Belapur,291.25,2.4597701149425286,1.0,23,19.846280312371558,11.6,1,1,3407919
Kharghar,631.15,3,1.0,0,16.0,8.2,1,0,8036089
Belapur,1062.4,3,4.0,16.55400254129606,34.0,4.3,1,0,12221078
Belapur,510.74,2,1.0,25,7.0,5.8,0,1,4574620
Airoli,1306.0,1,2.0,16,33.0,17.5,1,1,14145458
nerul,848.02,4,1.0,22,29.0,9.5,0,0,18309998
Ulwe,961.38,2,1.0,24,31.0,4.5,0,1,18118920
KHARGHAR,3430.9657487994687,2,1.0,3,25.0,3.3,1,1,50507091.96410894
Airoli,959.01,3,1.0,0,11.0,5.7,0,1,9826845
KHARGHAR,1291.59,4,2.0,16.55400254129606,27.0,10.5,1,0,27584865
Airoli,1657.65,2,1.0,28,20.0,5.8,1,0,29584317
Vashi,1099.06,2.4597701149425286,3.0,9,29.0,9.0,0,1,15256295
nerul,100.87,2,1.0,25,29.0,15.2,0,0,750665
Panvel,757.95,4,2.5295887662988967,2,5.0,8.8,0,0,15040622
Vashi,639.76,2,1.0,13,28.0,3.2,1,0,9532946
Ghansoli,1417.29,2.4597701149425286,2.5295887662988967,16,19.0,2.8,1,0,18141522
Vashi,1226.1,3,1.0,9,15.0,7.0,0,1,19492742
CBD Belapur,1413.73,2.4597701149425286,3.0,22,5.0,1.5,0,0,16761446
Kharghar,643.0,3,1.0,26,17.0,12.6,0,1,9221620
Ghansoli,917.83,2,4.0,34,22.0,5.2,0,1,17061797
Ghansoli,1123.72,3,2.5295887662988967,32,5.0,3.9,1,0,18918166
Ulwe,1224.74,3,1.0,20,22.0,4.4,0,1,17867921
Airoli,689.67,2,1.0,26,24.0,8.0,0,0,6024012
Ulwe,670.2,1,4.0,30,29.0,0.5,0,1,7954354
Airoli,700.26,3,2.0,30,24.0,6.9,1,1,10807121
Kharghar,558.69,2,1.0,0,22.0,5.0,0,0,7964451
nerul,739.57,2.4597701149425286,2.0,30,23.0,7.9,0,0,5861026
Panvel,1072.58,2.4597701149425286,2.0,15,15.0,8.0,0,0,14144587
Nerul,1077.35,3,1.0,5,24.0,9.7,0,1,12604074
Vashi,1414.56,3,3.0,31,27.0,3.1,1,0,25942483
Vashi,1042.21,1,3.0,22,13.0,9.6,0,0,9687622
Kharghar,1052.0,3,2.5295887662988967,16.55400254129606,26.0,14.6,0,0,16488870
nerul,1406.93,1,1.0,13,11.0,1.3,1,1,19452607
Ghansoli,1490.43,2.4597701149425286,4.0,3,37.0,13.3,0,0,27120156
Airoli,1076.46,2.4597701149425286,3.0,17,24.0,10.8,1,0,9571962
CBD Belapur,430.67,2,2.0,24,1.0,7.1,1,0,4414122
Ulwe,588.94,2,4.0,5,30.0,24.2,1,1,6578835
Belapur,1632.64,2.4597701149425286,2.5295887662988967,0,36.0,13.2,1,1,14162184
Ulwe,700.86,2.4597701149425286,3.0,34,6.0,5.5,0,0,11583450
Panvel,896.64,2,4.0,4,8.0,14.4,0,0,7815736
Nerul,1253.57,3,2.0,24,9.0,9.7,0,1,16133517
Kharghar,1056.14,2.4597701149425286,2.5295887662988967,6,39.0,4.5,1,1,14983547
Belapur,1481.27,1,1.0,15,20.0,5.0,0,1,21749900
Airoli,1798.4,4,2.5295887662988967,22,5.0,13.9,0,1,29012993
Panvel,520.14,4,1.0,2,13.0,3.3,1,1,8744846
Ghansoli,1538.56,3,1.0,11,30.0,5.8,0,1,16497191
Panvel,1384.37,4,2.5295887662988967,14,38.0,14.3,0,0,16200360
Nerul,1439.54,1,1.0,4,18.0,10.0,1,0,20113544
Ulwe,888.88,1,1.0,11,21.0,17.0,0,0,10068604
panvel,1732.83,2,4.0,6,34.0,6.6,0,0,29166551
panvel,754.61,1,4.0,4,25.0,17.6,0,1,10601369
Vashi,554.87,3,4.0,9,28.0,13.6,1,0,6359586
KHARGHAR,571.4,2.4597701149425286,1.0,9,26.0,6.9,0,1,9954080
Airoli,598.42,4,2.5295887662988967,10,2.0,9.8,1,0,10695800
Panvel,1145.18,1,3.0,12,9.0,4.1,1,0,15829757
KHARGHAR,465.94,2,3.0,13,31.0,17.5,1,1,6238149
Kharghar,1372.42,2.4597701149425286,4.0,28,18.0,9.3,0,0,24465705
Vashi,205.82,1,3.0,16.55400254129606,31.0,13.2,0,1,3031555
nerul,1332.89,2,2.5295887662988967,11,21.0,4.5,1,0,22398435
KHARGHAR,1053.01,4,2.0,11,8.0,4.5,1,0,22531021
Airoli,1836.22,3,4.0,8,31.0,11.3,0,0,29165711
CBD Belapur,1186.0,4,3.0,24,11.0,23.2,1,1,20963866
Nerul,904.47,2.4597701149425286,4.0,4,34.0,14.5,0,1,10511579
nerul,1861.3,2,3.0,3,26.0,3.8,0,0,19755089
CBD Belapur,875.6,2.4597701149425286,2.0,13,13.0,11.5,0,1,13794402
Belapur,1394.12,2,3.0,23,12.0,0.9,0,0,19530680
KHARGHAR,1241.93,2,2.0,10,10.0,16.4,0,0,23921926
panvel,636.04,2,3.0,5,15.0,11.9,1,0,11604674
Ghansoli,1224.68,2,2.5295887662988967,25,13.0,10.7,1,0,19207561
Airoli,803.5,4,2.0,9,13.0,6.5,1,1,12903416
Vashi,1407.5,2.4597701149425286,3.0,4,22.0,10.0,1,0,20314651
Vashi,679.93,4,2.5295887662988967,18,35.0,7.1,0,0,9958093
Ghansoli,768.92,4,1.0,34,13.0,1.0,0,1,8496089
Airoli,1030.18,1,2.0,13,36.0,6.1,1,1,15157850
KHARGHAR,726.39,4,3.0,12,8.0,0.6,0,1,10606944
Kharghar,1532.88,2,3.0,26,37.0,18.1,0,0,14848881
KHARGHAR,527.56,2,3.0,28,34.0,3.3,1,1,8880572
Panvel,1325.17,2.4597701149425286,3.0,12,2.0,8.1,0,0,14188326
Airoli,1278.06,2,2.0,25,2.0,7.6,0,0,12155944
Nerul,1421.54,2.4597701149425286,2.0,15,9.0,6.1,0,0,15623134
CBD Belapur,590.94,2,1.0,15,24.0,4.2,0,1,11306180
Ulwe,527.96,1,2.5295887662988967,13,24.0,12.9,0,0,8383579
Belapur,1157.74,2,1.0,10,5.0,13.0,0,0,18244919
Nerul,887.83,3,1.0,1,15.0,1.1,0,1,17286419
Belapur,1229.53,4,1.0,19,27.0,16.7,1,1,23531357
panvel,1197.64,1,2.5295887662988967,5,19.0,8.5,0,1,21649917
Kharghar,1731.3,2.4597701149425286,2.5295887662988967,16,1.0,4.8,1,1,28349828
nerul,1131.3,2,2.0,1,28.0,3.4,0,1,16156568
panvel,1270.43,1,2.0,14,3.0,1.3,0,0,13248318
panvel,973.15,4,2.0,21,25.0,6.4,0,0,13210398
CBD Belapur,760.54,1,1.0,1,33.0,24.3409720571534,0,0,11418382
Vashi,973.28,1,4.0,14,12.0,1.1,0,0,17703417
KHARGHAR,672.68,4,2.5295887662988967,25,35.0,9.5,1,1,13739940
KHARGHAR,711.96,3,2.5295887662988967,34,10.0,6.3,0,0,7771389
Kharghar,955.45,1,1.0,16.55400254129606,9.0,9.0,1,1,13174422
Airoli,421.02,4,1.0,16.55400254129606,16.0,10.9,0,1,6220156
Kharghar,1283.57,2.4597701149425286,2.5295887662988967,24,10.0,10.8,0,1,13673039
Ulwe,830.47,2,2.5295887662988967,12,28.0,5.9,1,0,7150110
Airoli,841.94,1,4.0,30,30.0,11.6,1,0,13042282
CBD Belapur,630.68,2,2.5295887662988967,31,6.0,0.3,0,0,10395127
Ulwe,1081.64,2,1.0,23,9.0,15.5,0,1,14138286
Vashi,1301.66,1,1.0,16,35.0,7.7,1,0,16603157
Ghansoli,835.6,2,3.0,28,9.0,14.6,0,0,13406789
nerul,891.86,2.4597701149425286,2.5295887662988967,17,21.0,10.1,0,1,11203950
Kharghar,1307.18,4,4.0,5,33.0,19.0,0,0,26204667
nerul,1236.26,1,2.0,10,32.0,10.5,1,0,20368853
CBD Belapur,968.77,3,2.0,2,39.0,19.4,1,1,17024991
Ulwe,674.36,1,2.0,18,12.0,10.8,0,0,12336359
Ghansoli,1414.75,2.4597701149425286,1.0,33,17.0,2.4,0,0,14047009
Ghansoli,737.42,2.4597701149425286,3.0,27,11.0,1.4,0,1,9690467
Panvel,896.28,2,3.0,9,7.0,12.9,1,1,9720795
Nerul,1648.95,1,3.0,7,26.0,13.6,1,0,29419393
Kharghar,1102.38,2.4597701149425286,2.5295887662988967,6,30.0,5.3,1,1,16689881
Vashi,2025.91,2,3.0,25,30.0,10.3,0,0,30209785
Nerul,1000.23,1,4.0,32,18.0,7.0,1,0,12528012
Nerul,743.26,4,2.0,9,8.0,11.7,1,1,11968200
panvel,1445.83,1,3.0,27,31.0,5.6,1,0,14520988
panvel,969.13,2.4597701149425286,2.0,23,37.0,4.6,0,1,12064197
KHARGHAR,794.59,4,4.0,31,38.0,10.0,0,0,8861857
Ghansoli,952.15,3,4.0,30,10.0,9.9,0,0,14259865
Airoli,1925.9,4,2.0,30,5.0,12.1,0,0,36024231
Panvel,689.39,1,3.0,19,6.0,8.4,0,1,9460113
Panvel,3430.9657487994687,2,3.0,32,3.0,9.9,0,0,50507091.96410894
panvel,277.37,4,3.0,3,18.0,8.7,1,0,5327003
Airoli,1075.15,3,1.0,22,2.0,8.4,0,0,19155035
